customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100000,Male,0,No,No,56,No,No,No,No,No,No,No,No,No,Two year,Yes,Credit card,97.91,5471.51,Yes
C100001,Female,0,No,No,26,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,47.8,1262.97,Yes
C100002,Male,1,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,50.31,238.0,Yes
C100003,Male,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,48.65,3401.71,No
C100004,Male,0,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,28.84,1630.22,No
C100005,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,20.33,260.47,Yes
C100006,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.0,1434.73,No
C100007,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,18.0,338.55,No
C100008,Male,0,No,Yes,36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,30.78,1080.06,Yes
C100009,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,79.08,224.53,Yes
C100010,Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,22.79,941.43,Yes
C100011,Male,1,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,102.91,3947.59,Yes
C100012,Male,1,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,82.18,2082.5,No
C100013,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,119.81,128.3,Yes
C100014,Female,0,No,Yes,22,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,126.14,2714.21,Yes
C100015,Male,1,Yes,Yes,22,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,86.43,1957.56,Yes
C100016,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.42,800.36,Yes
C100017,Female,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,18.0,177.08,Yes
