,forecast
2025-01-01,155.83083
2025-01-02,145.4197
2025-01-03,144.51974
2025-01-04,149.1794
2025-01-05,160.75183
2025-01-06,166.20668
2025-01-07,166.55154
2025-01-08,155.19281
2025-01-09,149.39874
2025-01-10,144.10085
2025-01-11,148.00667
2025-01-12,157.18762
2025-01-13,163.93839
2025-01-14,166.95181
2025-01-15,157.2658
2025-01-16,148.44412
2025-01-17,147.24579
2025-01-18,149.00618
2025-01-19,151.9481
2025-01-20,167.2417
2025-01-21,172.11227
2025-01-22,161.43886
2025-01-23,152.21147
2025-01-24,150.84425
2025-01-25,150.73405
2025-01-26,163.96942
2025-01-27,175.92319
2025-01-28,179.09727
2025-01-29,170.85022
2025-01-30,151.87143
